Date,SPY,SPY_Ret,RF
8/18/2017,242.71,-0.00156443,0.00003
8/21/2017,242.9,0.000782521,0.00003
8/22/2017,245.44,0.010402682,0.00003
8/23/2017,244.56,-0.003591841,0.00003
8/24/2017,243.99,-0.002333437,0.00003
8/25/2017,244.56,0.002333437,0.00003
8/28/2017,244.57,4.08889E-05,0.00003
8/29/2017,244.85,0.001144212,0.00003
8/30/2017,246.01,0.004726407,0.00003
8/31/2017,247.49,0.005997992,0.00003
